center_x,center_y,step_distance
47.5,80.0,0.0
49.5,79.5,2.0615528128088303
56.0,80.0,6.519202405202649
55.5,84.5,4.527692569068709
64.5,84.5,9.0
64.0,85.0,0.7071067811865476
64.5,84.5,0.7071067811865476
64.0,86.0,1.5811388300841898
71.0,89.0,7.615773105863909
74.5,89.0,3.5
78.5,90.0,4.123105625617661
78.5,86.5,3.5
81.0,85.0,2.9154759474226504
83.5,86.5,2.9154759474226504
86.5,86.0,3.0413812651491097
89.5,85.0,3.1622776601683795
95.0,78.5,8.514693182963201
98.5,76.5,4.031128874149275
103.5,74.0,5.5901699437494745
105.5,75.5,2.5
108.5,74.5,3.1622776601683795
110.5,76.0,2.5
108.0,74.0,3.2015621187164243
117.0,74.5,9.013878188659973
117.5,72.5,2.0615528128088303
124.0,66.5,8.845903006477066
126.0,66.5,2.0
126.0,73.0,6.5
130.5,64.0,10.062305898749054
130.0,69.5,5.522680508593631
133.0,78.5,9.486832980505138
136.5,66.0,12.98075498574717
137.0,80.0,14.0089257261219
137.5,68.0,12.010412149464313
140.0,77.5,9.82344135219425
