frame,x,y,w,h,theta
0,30.0,40.0,35.0,80.0,0.0
1,32.0,39.0,35.0,81.0,2.063222713130757
2,39.0,40.0,34.0,80.0,-4.571424456154862
3,38.0,45.0,35.0,79.0,8.180310506441353
4,47.0,44.0,35.0,81.0,-1.1147545133223313
5,46.0,46.0,36.0,78.0,-8.250251124923043
6,47.0,45.0,35.0,79.0,-1.1316855106000288
7,46.0,47.0,36.0,78.0,-0.6192153504477527
8,53.0,50.0,36.0,78.0,-7.11946416920102
9,57.0,49.0,35.0,80.0,11.944573474280064
10,60.0,52.0,37.0,76.0,11.621257515017025
11,60.0,44.0,37.0,85.0,-11.004071325611186
12,63.0,44.0,36.0,82.0,-6.2990809491946
13,66.0,43.0,35.0,87.0,-1.407386212441315
14,69.0,42.0,35.0,88.0,-5.914028081682058
15,72.0,42.0,35.0,86.0,6.297401210189501
16,78.0,36.0,34.0,85.0,-11.672670907653368
17,81.0,36.0,35.0,81.0,2.2193872359800295
18,87.0,31.0,33.0,86.0,-1.7433729962657993
19,89.0,32.0,33.0,87.0,-3.29359232708427
20,92.0,31.0,33.0,87.0,-5.59947438167982
21,94.0,34.0,33.0,84.0,8.710040459800881
22,89.0,31.0,38.0,86.0,-11.695226884990237
23,96.0,27.0,42.0,95.0,-7.42757509160466
24,96.0,23.0,43.0,99.0,-0.08107458506179108
25,104.0,12.0,40.0,109.0,6.689542097780376
26,107.0,12.0,38.0,109.0,6.513906963246853
27,109.0,18.0,34.0,110.0,-6.853952552335257
28,113.0,13.0,35.0,102.0,2.7780015471507116
29,113.0,25.0,34.0,89.0,-8.536791140810077
30,115.0,36.0,36.0,85.0,-1.2177595969136465
31,118.0,27.0,37.0,78.0,3.0966139340554335
32,119.0,40.0,36.0,80.0,-2.9187285108507934
33,120.0,27.0,35.0,82.0,-4.8018960396596775
34,120.0,38.0,40.0,79.0,-10.07105403755752
